order_id,customer,region,units,price,is_returned,order_date,rating
1001,Alice,North,3,19.99,false,2024-01-05,4.5
1002,Bob,South,1,49.50,true,2024-01-06,2.0
1003,Carol,North,7,9.99,false,2024-01-08,5.0
1004,Dave,East,2,99.00,false,2024-01-10,3.5
1005,Eve,West,5,19.99,false,2024-01-12,4.0
1006,Frank,South,1,250.00,true,2024-01-15,1.5
1007,Grace,North,4,19.99,false,2024-01-18,4.5
1008,Heidi,East,,29.99,false,2024-01-20,3.0
1009,Ivan,West,6,9.99,false,2024-01-22,5.0
1010,Judy,South,2,49.50,true,2024-01-25,2.5
